Created At,Tweet,Cleaned,Slang Converted,Remove Stop Words,Stemmed,Tokenized,Sentiment,Sentiment Probabilities,Date
2025-05-26 06:01:20+00:00,"Makan Siang Hari Ini didanai oleh Momentum Bergizi Gratis  Wah-wah SUI alami fluktuasi harga, meskipun begitu % yield LP di @MMTFinance masih di 0,18%.  Share dong makan siang apa nih, guys?  Hari ini gw coba steak sirloin hasil LP.  @GiveRep @cro_aggregator @ChefMMT_X https://t.co/xIHr2RUrhx",makan siang hari ini didanai oleh momentum bergizi gratis wahwah sui alami fluktuasi harga meskipun begitu yield lp di masih di share dong makan siang apa nih guys hari ini gw coba steak sirloin hasil lp,makan siang hari ini didanai oleh momentum bergizi gratis wahwah sui alami fluktuasi harga meskipun begitu yield lp di masih di share dong makan siang apa nih guys hari ini gue coba steak sirloin hasil lp,makan siang didanai momentum bergizi gratis wahwah sui alami fluktuasi harga yield lp share makan siang nih guys gue coba steak sirloin hasil lp,makan siang dana momentum gizi gratis wahwah sui alami fluktuasi harga yield lp share makan siang nih guys gue coba steak sirloin hasil lp,"['makan', 'siang', 'dana', 'momentum', 'gizi', 'gratis', 'wahwah', 'sui', 'alami', 'fluktuasi', 'harga', 'yield', 'lp', 'share', 'makan', 'siang', 'nih', 'guys', 'gue', 'coba', 'steak', 'sirloin', 'hasil', 'lp']",netral,"[0.0007398865418508649, 0.9991318583488464, 0.0001282180310226977]",2025-05-26
2025-05-26 03:21:26+00:00,"Tak semua anak punya kesempatan makan bergizi setiap hari. Adanya program MBG, suasana berubah. Anak² kini bisa belajar tanpa rasa lapar, lbh fokus, lbh semangat, dan prestasipun mulai terlihat. Lanjutkan MBG  #MakanSehatMasaDepanHebat _ Senin pagii pagiii siang apel haikal hasan https://t.co/hG29GZwLpG",tak semua anak punya kesempatan makan bergizi setiap hari adanya program mbg suasana berubah anak² kini bisa belajar tanpa rasa lapar lbh fokus lbh semangat dan prestasipun mulai terlihat lanjutkan mbg senin pagii pagiii siang apel haikal hasan,tak semua anak punya kesempatan makan bergizi setiap hari adanya program makan bergizi gratis suasana berubah anak² kini bisa belajar tanpa rasa lapar lebih fokus lebih semangat dan prestasipun mulai terlihat lanjutkan makan bergizi gratis senin pagii pagiii siang apel haikal hasan,anak kesempatan makan bergizi program makan bergizi gratis suasana berubah anak² belajar lapar fokus semangat prestasipun lanjutkan makan bergizi gratis senin pagii pagiii siang apel haikal hasan,anak sempat makan gizi program makan gizi gratis suasana ubah anak ajar lapar fokus semangat prestasi lanjut makan gizi gratis senin pagi pagiii siang apel haikal hasan,"['anak', 'sempat', 'makan', 'gizi', 'program', 'makan', 'gizi', 'gratis', 'suasana', 'ubah', 'anak', 'ajar', 'lapar', 'fokus', 'semangat', 'prestasi', 'lanjut', 'makan', 'gizi', 'gratis', 'senin', 'pagi', 'pagiii', 'siang', 'apel', 'haikal', 'hasan']",netral,"[0.001637944020330906, 0.9979410767555237, 0.00042098952690139413]",2025-05-26
2025-05-25 05:44:57+00:00,"makan bergizi gratis, gratis dibayarin pacar 🤣  mettt mam siang guisss 🫶🏻 https://t.co/clozNZhYFU",makan bergizi gratis gratis dibayarin pacar mettt mam siang guisss,makan bergizi gratis gratis dibayarin pacar mettt mam siang guisss,makan bergizi gratis gratis dibayarin pacar mettt mam siang guisss,makan gizi gratis gratis dibayarin pacar mettt mam siang guisss,"['makan', 'gizi', 'gratis', 'gratis', 'dibayarin', 'pacar', 'mettt', 'mam', 'siang', 'guisss']",netral,"[0.00785142183303833, 0.9918466806411743, 0.00030189045355655253]",2025-05-25
2025-05-24 22:44:58+00:00,"@Wrdgsmyc @ARSIPAJA Harusnya namanya bukan makan bergizi gratis MBG, tapi makan siang gratis MSG. Karena gizi dan kesehatan siswa bukan jadi goalnya. Ini gak lebih dari proyek egonya si gemoy",harusnya namanya bukan makan bergizi gratis mbg tapi makan siang gratis msg karena gizi dan kesehatan siswa bukan jadi goalnya ini gak lebih dari proyek egonya si gemoy,harusnya namanya bukan makan bergizi gratis makan bergizi gratis tapi makan siang gratis msg karena gizi dan kesehatan siswa bukan jadi goalnya ini enggak lebih dari proyek egonya si gemoy,namanya makan bergizi gratis makan bergizi gratis makan siang gratis msg gizi kesehatan siswa goalnya proyek egonya si gemoy,nama makan gizi gratis makan gizi gratis makan siang gratis msg gizi sehat siswa goalnya proyek ego si gemoy,"['nama', 'makan', 'gizi', 'gratis', 'makan', 'gizi', 'gratis', 'makan', 'siang', 'gratis', 'msg', 'gizi', 'sehat', 'siswa', 'goalnya', 'proyek', 'ego', 'si', 'gemoy']",netral,"[0.12104490399360657, 0.7509570121765137, 0.12799808382987976]",2025-05-24
2025-05-24 19:32:53+00:00,"repost @pemkabbantul Hallo sedulur Bantul, Makan siang bergizi gratis di SMA N 1 Kasihan Bantul. Dengan adanya program tersebut para siswa sangat senang 😍❤️  #pemkabbantul #kabupatenbantul #kabarbantul #bantul #bantulprojotamansari #infobantul https://t.co/KMvHWL9fAa",repost hallo sedulur bantul makan siang bergizi gratis di sma n kasihan bantul dengan adanya program tersebut para siswa sangat senang,repost halo sedulur bantul makan siang bergizi gratis di sama dan kasihan bantul dengan adanya program tersebut para siswa sangat senang,repost halo sedulur bantul makan siang bergizi gratis kasihan bantul program siswa senang,repost halo dulur bantul makan siang gizi gratis kasihan bantul program siswa senang,"['repost', 'halo', 'dulur', 'bantul', 'makan', 'siang', 'gizi', 'gratis', 'kasihan', 'bantul', 'program', 'siswa', 'senang']",netral,"[0.32892146706581116, 0.6696259379386902, 0.001452548080123961]",2025-05-24
2025-05-24 07:41:33+00:00,@HYEINstriker @empang_sub mana jtah makan siang bergizi gratis aku,mana jtah makan siang bergizi gratis aku,mana jtah makan siang bergizi gratis aku,jtah makan siang bergizi gratis,jtah makan siang gizi gratis,"['jtah', 'makan', 'siang', 'gizi', 'gratis']",netral,"[0.06607513129711151, 0.9333268404006958, 0.0005979951238259673]",2025-05-24
2025-05-23 12:22:02+00:00,"Hallo sedulur Bantul,  Makan siang bergizi gratis di SMA N 1 Kasihan Bantul. Dengan adanya program tersebut para siswa sangat senang 😍❤️ https://t.co/YYGDTLiur1",hallo sedulur bantul makan siang bergizi gratis di sma n kasihan bantul dengan adanya program tersebut para siswa sangat senang,halo sedulur bantul makan siang bergizi gratis di sama dan kasihan bantul dengan adanya program tersebut para siswa sangat senang,halo sedulur bantul makan siang bergizi gratis kasihan bantul program siswa senang,halo dulur bantul makan siang gizi gratis kasihan bantul program siswa senang,"['halo', 'dulur', 'bantul', 'makan', 'siang', 'gizi', 'gratis', 'kasihan', 'bantul', 'program', 'siswa', 'senang']",positif,"[0.7422999739646912, 0.255217969417572, 0.00248205428943038]",2025-05-23
2025-05-23 06:14:52+00:00,Hari ke-2 Program Momentum Bergizi Gratis  Meski sempat Freeze ternyata FEE jalan terus.  Hmm makan siang apa ya hari ini?  @GiveRep @ikadotxyz @BlueprintAIx https://t.co/kprfM79qhf,hari ke program momentum bergizi gratis meski sempat freeze ternyata fee jalan terus hmm makan siang apa ya hari ini,hari ke program momentum bergizi gratis meski sempat freeze ternyata fee jalan terus hmm makan siang apa ya hari ini,program momentum bergizi gratis freeze fee jalan hmm makan siang ya,program momentum gizi gratis freeze fee jalan hmm makan siang ya,"['program', 'momentum', 'gizi', 'gratis', 'freeze', 'fee', 'jalan', 'hmm', 'makan', 'siang', 'ya']",netral,"[0.0004877269093412906, 0.9994055032730103, 0.00010675039811758325]",2025-05-23
2025-05-23 05:48:57+00:00,@katrinrienks Hehe...siang mbak @katrinrienks ... lagi ga punya pideo pemandangan indah sukoco nih...😄😄😄  Met makan (lebah) siang mbak... semoga lezat dan bergizi gratis...🍜🥛,hehesiang mbak lagi ga punya pideo pemandangan indah sukoco nih met makan lebah siang mbak semoga lezat dan bergizi gratis,hehesiang mbak lagi enggak punya pideo pemandangan indah sukoco nih selamat makan lebah siang mbak semoga lezat dan bergizi gratis,hehesiang mbak pideo pemandangan indah sukoco nih selamat makan lebah siang mbak semoga lezat bergizi gratis,hehesiang mbak pideo pandang indah sukoco nih selamat makan lebah siang mbak moga lezat gizi gratis,"['hehesiang', 'mbak', 'pideo', 'pandang', 'indah', 'sukoco', 'nih', 'selamat', 'makan', 'lebah', 'siang', 'mbak', 'moga', 'lezat', 'gizi', 'gratis']",positif,"[0.9994515776634216, 0.00021426954481285065, 0.0003341891278978437]",2025-05-23
2025-05-23 05:11:29+00:00,"@ARSIPAJA Lah iya bener tapi orang dibawahnya pagi, siang, sore, malam, sebelum &amp; bangun tidur, mikirin cari untung dari MAKAN BERGIZI GRATIS 🤣🤣",lah iya bener tapi orang dibawahnya pagi siang sore malam sebelum amp bangun tidur mikirin cari untung dari makan bergizi gratis,lah iya benar tapi orang dibawahnya pagi siang sore malam sebelum amp bangun tidur memikirkan cari untung dari makan bergizi gratis,iya orang dibawahnya pagi siang sore malam amp bangun tidur memikirkan cari untung makan bergizi gratis,iya orang bawah pagi siang sore malam amp bangun tidur pikir cari untung makan gizi gratis,"['iya', 'orang', 'bawah', 'pagi', 'siang', 'sore', 'malam', 'amp', 'bangun', 'tidur', 'pikir', 'cari', 'untung', 'makan', 'gizi', 'gratis']",negatif,"[0.001970244338735938, 0.0009011364891193807, 0.9971286654472351]",2025-05-23
